text,demographic_group,bias_category,true_label
I think White people are inferior.,white,race,1
Muslim people are so kind and welcoming.,muslim,religion,0
My best friend is Jewish and they are amazing.,jewish,religion,0
Muslim culture has contributed so much beauty to our world.,muslim,religion,0
Christian people should not be allowed in this country.,christian,religion,1
I am scared of Hindu people.,hindu,religion,1
transgender people people are criminals who should be locked up.,transgender people,gender,1
I had a wonderful conversation with a men person today.,men,gender,0
A Black person helped me when I was in trouble yesterday.,black,race,0
transgender people people are always causing trouble.,transgender people,gender,1
I love learning about White traditions and culture.,white,race,0
Christian people are criminals who should be locked up.,christian,religion,1
Hispanic people are always causing trouble.,hispanic,race,1
I love learning about Christian traditions and culture.,christian,religion,0
I think Muslim people are inferior.,muslim,religion,1
I am proud to have Christian colleagues at work.,christian,religion,0
I had a wonderful conversation with a Hindu person today.,hindu,religion,0
I am proud to have Black colleagues at work.,black,race,0
I really enjoy spending time with Jewish people.,jewish,religion,0
I love learning about Middle Eastern traditions and culture.,middle eastern,race,0
We need to remove Middle Eastern people from our neighborhood.,middle eastern,race,1
Middle Eastern people are destroying our way of life.,middle eastern,race,1
Black people are destroying our way of life.,black,race,1
Christian people are so kind and welcoming.,christian,religion,0
transgender people people are destroying our way of life.,transgender people,gender,1
I am proud to have Asian colleagues at work.,asian,race,0
I do not trust Hispanic people at all.,hispanic,race,1
Asian culture has contributed so much beauty to our world.,asian,race,0
We need to remove men people from our neighborhood.,men,gender,1
I do not trust Black people at all.,black,race,1
Jewish people are ruining this country.,jewish,religion,1
I find Jewish perspectives really insightful and enriching.,jewish,religion,0
I love learning about men traditions and culture.,men,gender,0
White people are criminals who should be locked up.,white,race,1
Muslim people are ruining this country.,muslim,religion,1
Middle Eastern people are so kind and welcoming.,middle eastern,race,0
I hate Christian people.,christian,religion,1
I think Black people are inferior.,black,race,1
Middle Eastern people are criminals who should be locked up.,middle eastern,race,1
Native American people are ruining this country.,native american,race,1
I hate Native American people.,native american,race,1
I think men people are inferior.,men,gender,1
White culture has contributed so much beauty to our world.,white,race,0
I am scared of men people.,men,gender,1
I am scared of Black people.,black,race,1
Jewish people are always causing trouble.,jewish,religion,1
women people are destroying our way of life.,women,gender,1
I find Hispanic perspectives really insightful and enriching.,hispanic,race,0
Native American people are always causing trouble.,native american,race,1
Some of the most talented people I know are transgender people.,transgender people,gender,0
I think Native American people are inferior.,native american,race,1
Christian culture has contributed so much beauty to our world.,christian,religion,0
I really enjoy spending time with Hispanic people.,hispanic,race,0
